
Processing ee_HT_alpha.C...
alphacut = 0.05
bgeff = 0.185886
alphacut = 0.1
bgeff = 0.210307
alphacut = 0.15
bgeff = 0.192157
alphacut = 0.2
bgeff = 0.181751
alphacut = 0.25
bgeff = 0.194975
alphacut = 0.3
bgeff = 0.212504
alphacut = 0.35
bgeff = 0.229285
alphacut = 0.4
bgeff = 0.224752
alphacut = 0.45
bgeff = 0.222296
alphacut = 0.5
bgeff = 0.24745
alphacut = 0.55
bgeff = 0.255479
alphacut = 0.6
bgeff = 0.297205
alphacut = 0.65
bgeff = 0.33528
alphacut = 0.7
bgeff = 0.367287
alphacut = 0.75
bgeff = 0.387037
alphacut = 0.8
bgeff = 0.471038
alphacut = 0.85
bgeff = 0.521068
alphacut = 0.9
bgeff = 0.603942
alphacut = 0.95
bgeff = 0.685438
alphacut = 1
bgeff = 0.837354
